Drug Name,SMILES
XEN-2174,CC(C)C[C@H]1C(=O)N[C@H]2CSSC[C@@H](C(=O)NCC(=O)N[C@H](C(=O)N[C@H](C(=O)N1)CCCCN)CC3=CC=C(C=C3)O)NC(=O)[C@H](CSSC[C@H](NC(=O)[C@@H]4C[C@H](CN4C(=O)[C@@H](NC2=O)CC5=CN=CN5)O)C(=O)O)NC(=O)[C@H](C(C)C)NC(=O)CNC(=O)[C@@H]6CCC(=O)N6
XL999,CCN1CCC(CC1)NC2=CC\3=C(C=C2)NC(=O)/C3=C(/C4=CC(=CC=C4)F)\C5=NC=C(N5)C
Amonafide,CN(C)CCN1C(=O)C2=CC=CC3=CC(=CC(=C32)C1=O)N
INCB7839,COC(=O)N1CC2(CC2)C[C@@H]([C@H]1C(=O)N3CCN(CC3)C4=CC=CC=C4)C(=O)NO
Grn163l,CCCCCCCCCCCCCCCC(=O)NCC(COP(=S)([O-])OC[C@@H]1[C@H](C[C@@H](O1)N2C=C(C(=O)NC2=O)C)NP(=S)([O-])OC[C@@H]3[C@H](C[C@@H](O3)N4C=NC5=C(N=CN=C54)N)NP(=S)([O-])OC[C@@H]6[C@H](C[C@@H](O6)N7C=NC8=C7N=C(NC8=O)N)NP(=S)([O-])OC[C@@H]9[C@H](C[C@@H](O9)N1C=NC2=C1N=C(NC2=O)N)NP(=S)([O-])OC[C@@H]1[C@H](C[C@@H](O1)N1C=NC2=C1N=C(NC2=O)N)NP(=S)([O-])OC[C@@H]1[C@H](C[C@@H](O1)N1C=C(C(=O)NC1=O)C)NP(=S)([O-])OC[C@@H]1[C@H](C[C@@H](O1)N1C=C(C(=O)NC1=O)C)NP(=S)([O-])OC[C@@H]1[C@H](C[C@@H](O1)N1C=NC2=C(N=CN=C21)N)NP(=S)([O-])OC[C@@H]1[C@H](C[C@@H](O1)N1C=NC2=C1N=C(NC2=O)N)NP(=S)([O-])OC[C@@H]1[C@H](C[C@@H](O1)N1C=NC2=C(N=CN=C21)N)NP(=S)([O-])OC[C@@H]1[C@H](C[C@@H](O1)N1C=CC(=NC1=O)N)NP(=S)([O-])OC[C@@H]1[C@H](C[C@@H](O1)N1C=NC2=C(N=CN=C21)N)NP(=O)(OC[C@@H]1[C@H](C[C@@H](O1)N1C=NC2=C(N=CN=C21)N)N)[S-])O.[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+]
BZL101,N/A
VPM4001,N/A
Labetuzumab,N/A
Prinomastat,CC1([C@@H](N(CCS1)S(=O)(=O)C2=CC=C(C=C2)OC3=CC=NC=C3)C(=O)NO)C
Matuzumab,N/A
AN-9,CCCC(=O)OCOC(=O)C(C)(C)C
Trabectedin,CC1=CC2=C([C@@H]3[C@@H]4[C@H]5C6=C(C(=C7C(=C6[C@@H](N4[C@H]([C@H](C2)N3C)O)COC(=O)[C@@]8(CS5)C9=CC(=C(C=C9CCN8)O)OC)OCO7)C)OC(=O)C)C(=C1OC)O
AP5280,N/A
105AD7,N/A
EHC18,N/A
Thymectacin,C[C@@H](C(=O)OC)NP(=O)(OC[C@@H]1[C@H](C[C@@H](O1)N2C=C(C(=O)NC2=O)/C=C/Br)O)OC3=CC=CC=C3
IGN301,N/A
1D09C3,N/A
Tanespimycin,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCC=C)/C)OC)OC(=O)N)\C)C)O)OC
Bavituximab,N/A
RAV12,N/A
LY2181308,N/A
OXI-4503,COC1=C(C(=C(C=C1)/C=C\C2=CC(=C(C(=C2)OC)OC)OC)OP(=O)(O)O)OP(=O)(O)O
XL820,N/A
CYT997,CCC[C@@H](C1=CN=CC=C1)NC2=NC(=NC=C2C)C3=CC(=C(C=C3)NC(=O)NCC)OC
CG0070,N/A
XL844,C1=CC=C(C(=C1)NC(=O)NC2=NC=CN=C2)OCCCN
TST10088,N/A
SL017,N/A
PM02734,CC[C@H](C)CCC(=O)N[C@H](C(C)C)C(=O)N[C@@H]([C@@H](C)O)C(=O)N[C@@H](C(C)C)C(=O)N[C@H](C(C)C)C(=O)N1CCC[C@@H]1C(=O)N[C@@H](CCCN)C(=O)N[C@H]([C@@H](C)CC)C(=O)N[C@@H]2[C@H](OC(=O)[C@@H](NC(=O)/C(=C/C)/NC(=O)[C@@H](NC(=O)[C@H](NC(=O)[C@H](NC2=O)[C@@H](C)CC)C(C)C)CC3=CC=CC=C3)C(C)C)C.C(=O)(C(F)(F)F)O
Topsalysin,N/A
LY2275796,N/A
Vintafolide,CC[C@@]1(C[C@H]2C[C@@](C3=C(CCN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)[C@]78CCN9[C@H]7[C@@](C=CC9)([C@H]([C@@]([C@@H]8N6C)(C(=O)NNC(=O)OCCSSC[C@@H](C(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)O)NC(=O)CC[C@@H](C(=O)O)NC(=O)C1=CC=C(C=C1)NCC1=CN=C2C(=N1)C(=O)NC(=N2)N)O)O)CC)OC)C(=O)OC)O
AT9283,C1CC1NC(=O)NC2=C(NN=C2)C3=NC4=C(N3)C=C(C=C4)CN5CCOCC5
Benzimate,N/A
PTC299,COC1=CC=C(C=C1)[C@H]2C3=C(CCN2C(=O)OC4=CC=C(C=C4)Cl)C5=C(N3)C=CC(=C5)Cl
AS1409,N/A
EPC2407,COC1=C(C(=CC(=C1)[C@@H]2C3=C(C(=C(C=C3)N)N)OC(=C2C#N)N)Br)OC
XL281,CC1=C(C=C(C=C1)Cl)N2C(=O)C3=CC=CC=C3C2(C4=CC5=C(C=C4)N=C(N5)NC(=O)OC)O
CYC116,CC1=C(SC(=N1)N)C2=NC(=NC=C2)NC3=CC=C(C=C3)N4CCOCC4
XL418,CC1=C(C=C(C=C1N2CCN(CC2)C3=NC=NC4=NNC(=C43)Br)C(=O)CCC(F)(F)F)NCCN5CCCC5
SF1126,C1COCC[N+]1(COC(=O)CCC(=O)N[C@@H](CCCN=C(N)N)C(=O)NCC(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](CO)C(=O)[O-])C2=CC(=O)C3=C(O2)C(=CC=C3)C4=CC=CC=C4
GMX1777,COCCOCCOCCOCCOC(=O)OC[N+]1=CC=C(C=C1)NC(=NCCCCCCOC2=CC=C(C=C2)Cl)NC#N.[Cl-]
Alisertib,COC1=C(C(=CC=C1)F)C2=NCC3=CN=C(N=C3C4=C2C=C(C=C4)Cl)NC5=CC(=C(C=C5)C(=O)O)OC
Pracinostat,CCCCC1=NC2=C(N1CCN(CC)CC)C=CC(=C2)/C=C/C(=O)NO
Tetrodotoxin,C([C@@]1([C@H]2[C@@H]3[C@H](N=C(N[C@@]34[C@@H]([C@@H]1O[C@]([C@H]4O)(O2)O)O)N)O)O)O
XL765,CCN1C2=NC(=NC(=C2C=C(C1=O)C3=CC=NN3)C)N
XL019,C1C[C@H](NC1)C(=O)NC2=CC=C(C=C2)C3=NC(=NC=C3)NC4=CC=C(C=C4)N5CCOCC5
Gallium nitrate,[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[N+](=O)([O-])[O-].[Ga+3]
Samarium (153Sm) lexidronam,C(CN(CP(=O)(O)[O-])CP(=O)(O)[O-])N(CP(=O)(O)O)CP(=O)(O)[O-].[153Sm+3]
MCC,C1CC(CCC1CN2C(=O)C=CC2=O)C(=O)N
SB-249553,N/A
Tarenflurbil,C[C@H](C1=CC(=C(C=C1)C2=CC=CC=C2)F)C(=O)O
IDM-1,N/A
IDM-2,N/A
Motexafin lutetium,CCC1=C(C2=CC3=NC(=CN=C4C=C(C(=CC4=NC=C5C(=C(C(=N5)C=C1[N-]2)CCCO)C)OCCOCCOCCOC)OCCOCCOCCOC)C(=C3CCCO)C)CC.CC(=O)[O-].CC(=O)[O-].O.[Lu+3]
Paclitaxel docosahexaenoic acid,CC/C=C\C/C=C\C/C=C\C/C=C\C/C=C\C/C=C\CCC(=O)O[C@H]([C@H](C1=CC=CC=C1)NC(=O)C2=CC=CC=C2)C(=O)O[C@H]3C[C@]4([C@H]([C@H]5[C@@]([C@H](C[C@@H]6[C@]5(CO6)OC(=O)C)O)(C(=O)[C@@H](C(=C3C)C4(C)C)OC(=O)C)C)OC(=O)C7=CC=CC=C7)O
Keyhole limpet hemocyanin,CCCCCCCCC=CCCCCCCCC(=O)OCC(C)O.CCCCCCCCC=CCCCCCCCC(=O)OC(C)CO.CCCCCCCCC=CCCCCCCC(C)C(=O)OCCO
Girentuximab,N/A
Cintredekin besudotox,N/A
ANX-510,C1C2CN(CN2C3=C(N1)N=C(NC3=O)N)C4=CC=C(C=C4)C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-].[Ca+2]
Oportuzumab monatox,N/A
INGN 201,N/A
INGN 225,N/A
SOT-107,N/A
CMC 001,N/A
Rindopepimut,N/A
Regramostim,N/A
Neovastat,N/A
Tetrachlorodecaoxide,O.[O-]Cl=O.[O-]Cl=O.[O-]Cl=O.[O-]Cl=O.O=O
INS 316,N/A
NOV-002,[H+].[H+].C(CC(=O)N[C@@H](CSSC[C@@H](C(=O)NCC(=O)[O-])NC(=O)CC[C@@H](C(=O)[O-])N)C(=O)NCC(=O)[O-])[C@@H](C(=O)[O-])N.[Na+].[Na+]
Corticorelin,CC[C@H](C)[C@@H](C(=O)N)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCSC)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCCCN)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(=O)N)NC(=O)[C@H](CO)NC(=O)[C@H](CC1=CNC=N1)NC(=O)[C@H](C)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CCC(=O)N)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](C)NC(=O)[C@H](CCSC)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC2=CNC=N2)NC(=O)[C@H](CC3=CC=CC=C3)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H]([C@@H](C)CC)NC(=O)[C@@H]4CCCN4C(=O)[C@@H]5CCCN5C(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CCC(=O)O)NC(=O)[C@H](CO)N
GTI-2501,N/A
VB2-011,N/A
Pipendoxifene,CC1=C(N(C2=C1C=C(C=C2)O)CC3=CC=C(C=C3)OCCN4CCCCC4)C5=CC=C(C=C5)O
OSI-461,CC\1=C(C2=C(/C1=C\C3=CC=NC=C3)C=CC(=C2)F)CC(=O)NCC4=CC=CC=C4.Cl
GW 597599,CC1=C(C=CC(=C1)F)[C@H]2CNCCN2C(=O)N(C)[C@H](C)C3=CC(=CC(=C3)C(F)(F)F)C(F)(F)F.CS(=O)(=O)O
Gallium maltolate,CC1=C(C(=O)C=CO1)[O-].CC1=C(C(=O)C=CO1)[O-].CC1=C(C(=O)C=CO1)[O-].[Ga+3]
Canertinib,C=CC(=O)NC1=C(C=C2C(=C1)C(=NC=N2)NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
Talactoferrin alfa,CN(C1CCCCC1N2CCCC2)C(=O)CC3=CC(=C(C=C3)Cl)Cl
Motexafin gadolinium,CCC1=C(C2=CC3=NC(=CN=C4C=C(C(=CC4=NC=C5C(=C(C(=N5)C=C1[N-]2)CCCO)C)OCCOCCOCCOC)OCCOCCOCCOC)C(=C3CCCO)C)CC.CC(=O)[O-].CC(=O)[O-].[Gd+3]
ABT-510,CCC[C@@H](C(=O)N[C@@H]([C@@H](C)CC)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N1CCC[C@H]1C(=O)NCC)NC(=O)[C@H]([C@@H](C)O)NC(=O)[C@@H]([C@@H](C)CC)NC(=O)[C@H](C(C)C)NC(=O)CNC(=O)CN(C)C(=O)C
NAV 1800,N/A
IDD-1,N/A
AVI-4557,N/A
PX-12,CCC(C)SSC1=NC=CN1
FM-VP4,N/A
P54,N/A
PH-284,N/A
OSI-7904L,CC1=NC2=C(C3=C(C=CC(=C3)CNC4=CC5=C(C=C4)C(=O)N(C5)[C@@H](CCC(=O)O)C(=O)O)C=C2)C(=O)N1
Chlorotoxin I-131,CCC(C1=CC=CC=C1)C(C2=CC=CC=C2)C3=CC=C(C=C3)OCCN(C)C
ISS-1018,N/A
SGN-30,N/A
WX-UK1,CCOC(=O)N1CCN(CC1)C(=O)[C@H](CC2=CC(=CC=C2)C(=N)N)NS(=O)(=O)C3=C(C=C(C=C3C(C)C)C(C)C)C(C)C.Cl
MUC1 Dendritic Cell Vaccine,N/A
PBI-1402,N/A
SN-38,CCC1=C2CN3C(=CC4=C(C3=O)COC(=O)[C@@]4(CC)O)C2=NC5=C1C=C(C=C5)O
ADH-1,C[C@H]1C(=O)N[C@H](C(=O)N[C@@H](CSSC[C@@H](C(=O)N[C@H](C(=O)N1)CC2=CN=CN2)NC(=O)C)C(=O)N)C(C)C
Custirsen,CC1=CN(C(=O)NC1=O)[C@H]2C[C@@H]([C@H](O2)COP(=S)(O)O[C@H]3C[C@@H](O[C@@H]3COP(=S)(O)O[C@H]4C[C@@H](O[C@@H]4COP(=S)(O)O[C@H]5C[C@@H](O[C@@H]5COP(=S)(O)O[C@H]6C[C@@H](O[C@@H]6COP(=S)(O)O[C@H]7C[C@@H](O[C@@H]7COP(=S)(O)O[C@H]8C[C@@H](O[C@@H]8COP(=S)(O)O[C@H]9C[C@@H](O[C@@H]9COP(=S)(O)O[C@H]1C[C@@H](O[C@@H]1COP(=S)(O)O[C@H]1C[C@@H](O[C@@H]1COP(=S)(O)O[C@@H]1[C@H](O[C@H]([C@@H]1OCCOC)N1C=C(C(=NC1=O)N)C)COP(=S)(O)O[C@@H]1[C@H](O[C@H]([C@@H]1OCCOC)N1C=NC2=C1N=C(NC2=O)N)COP(=S)(O)O[C@@H]1[C@H](O[C@H]([C@@H]1OCCOC)N1C=NC2=C(N=CN=C21)N)COP(=S)(O)O[C@@H]1[C@H](O[C@H]([C@@H]1OCCOC)N1C=C(C(=NC1=O)N)C)CO)N1C=NC2=C(N=CN=C21)N)N1C=NC2=C1N=C(NC2=O)N)N1C=CC(=NC1=O)N)N1C=NC2=C(N=CN=C21)N)N1C=NC2=C1N=C(NC2=O)N)N1C=NC2=C(N=CN=C21)N)N1C=NC2=C1N=C(NC2=O)N)N1C=C(C(=O)NC1=O)C)N1C=CC(=NC1=O)N)OP(=S)(O)OC[C@@H]1[C@H](C[C@@H](O1)N1C=C(C(=O)NC1=O)C)OP(=S)(O)OC[C@@H]1[C@H](C[C@@H](O1)N1C=CC(=NC1=O)N)OP(=S)(O)OC[C@@H]1[C@H](C[C@@H](O1)N1C=NC2=C(N=CN=C21)N)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=C(C(=O)NC1=O)C)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=C(C(=NC1=O)N)C)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=NC2=C(N=CN=C21)N)OCCOC)OP(=S)(O)OC[C@@H]1[C@H]([C@H]([C@@H](O1)N1C=C(C(=O)NC1=O)C)OCCOC)O
ACA 125,N/A
ATN-161,CC(=O)N1CCC[C@H]1C(=O)N[C@@H](CC2=CN=CN2)C(=O)N[C@@H](CO)C(=O)N[C@@H](CS)C(=O)N[C@@H](CC(=O)N)C(=O)N
AVN-944,CC[C@H](CC#N)OC(=O)N[C@@H](C)C1=CC(=CC=C1)NC(=O)NC2=CC(=C(C=C2)C3=CN=CO3)OC
Piclidenoson,CNC(=O)[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)NCC4=CC(=CC=C4)I)O)O
Atiprimod,CCCC1(CCC2(CC1)CCN(C2)CCCN(CC)CC)CCC
Pelitinib,CCOC1=C(C=C2C(=C1)N=CC(=C2NC3=CC(=C(C=C3)F)Cl)C#N)NC(=O)/C=C/CN(C)C
alpha-Pyrrolidinononanophenone,CCCCCCCC(C(=O)C1=CC=CC=C1)N2CCCC2
Alanosine,C([C@@H](C(=O)[O-])[NH3+])N(N=O)O
SB-743921,CC1=CC=C(C=C1)C(=O)N(CCCN)[C@@H](C2=C(C(=O)C3=C(O2)C=C(C=C3)Cl)CC4=CC=CC=C4)C(C)C
INO-1001,CS(=O)(=O)O.C1COCCN1CCCNS(=O)(=O)C2=CC3=C(C=C2)C4=C(C3)C5=CC=CC=C5C(=O)N4
Motesanib,CC1(CNC2=C1C=CC(=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4)C
Ramucirumab,N/A
Verubulin,CC1=NC2=CC=CC=C2C(=N1)N(C)C3=CC=C(C=C3)OC
Blarcamesine,CN(C)CC1CCOC1(C2=CC=CC=C2)C3=CC=CC=C3
Cantuzumab ravtansine,N/A
Farletuzumab,N/A
Mx-dnG1,N/A
MKC-1,CN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CN(C5=C4C=CC(=C5)[N+](=O)[O-])C
NE-180,N/A
Teverelix,C[C@H](C(=O)N)NC(=O)[C@@H]1CCCN1C(=O)[C@H](CCCCNC(C)C)NC(=O)[C@H](CC(C)C)NC(=O)[C@@H](CCCCNC(=O)N)NC(=O)[C@H](CC2=CC=C(C=C2)O)NC(=O)[C@H](CO)NC(=O)[C@@H](CC3=CN=CC=C3)NC(=O)[C@@H](CC4=CC=C(C=C4)Cl)NC(=O)[C@@H](CC5=CC6=CC=CC=C6C=C5)NC(=O)C
CTCE-9908,CC(C)C[C@@H](C(=O)N[C@@H](CO)C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N[C@@H](CCCNC(=N)N)C(=O)NCCCC[C@@H](C(=O)N)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC2=CC=C(C=C2)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](C(C)C)NC(=O)CNC(=O)[C@H](CCCCN)N)NC(=O)[C@H](CO)NC(=O)[C@H](C(C)C)NC(=O)CNC(=O)[C@H](CCCCN)N
Retaspimycin,C[C@H]1C[C@@H]([C@@H]([C@H](/C=C(/[C@@H]([C@H](/C=C\C=C(\C(=O)NC2=CC(=C(C(=C2O)C1)NCC=C)O)/C)OC)OC(=O)N)\C)C)O)OC
Sodium stibogluconate,C([C@H]([C@@H]1[C@@H]([C@@H](O[Sb](=O)(O1)O[Sb]2(=O)O[C@@H]([C@@H]([C@@H](O2)C(=O)[O-])O)[C@@H](CO)O)C(=O)[O-])O)O)O.O.O.O.O.O.O.O.O.O.[Na+].[Na+].[Na+]
IRX-2,N/A
IRX-5183,CC1(CCC(C2=C1C=C(C(=C2Cl)O)C(=O)NC3=CC(=C(C(=C3)F)C(=O)O)F)(C)C)C
Palifosfamide,C(CCl)NP(=O)(NCCCl)O
ATL-104,N/A
Sivifene,C1=CC(=CC=C1C(=NNC2=C(C=C(C=C2)[N+](=O)[O-])[N+](=O)[O-])C3=CC=C(C=C3)O)O
Trabedersen,CC1=CN(C(=O)NC1=O)C2CC(C(O2)COP(=O)(OC3CC(OC3COP(=S)(O)OC4CC(OC4COP(=S)(O)OC5CC(OC5COP(=S)(O)OC6CC(OC6COP(=S)(O)OC7CC(OC7COP(=S)(O)OC8CC(OC8COP(=S)(O)OC9CC(OC9COP(=S)(O)OC1CC(OC1COP(=S)(O)OC1CC(OC1COP(=S)(O)OC1CC(OC1COP(=S)(O)OC1CC(OC1COP(=S)(O)OC1CC(OC1COP(=S)(O)OC1CC(OC1CO)N1C=CC(=NC1=O)N)N1C=NC2=C1N=C(NC2=O)N)N1C=NC2=C1N=C(NC2=O)N)N1C=CC(=NC1=O)N)N1C=NC2=C(N=CN=C21)N)N1C=C(C(=O)NC1=O)C)N1C=NC2=C1N=C(NC2=O)N)N1C=C(C(=O)NC1=O)C)N1C=CC(=NC1=O)N)N1C=C(C(=O)NC1=O)C)N1C=NC2=C(N=CN=C21)N)N1C=C(C(=O)NC1=O)C)N1C=C(C(=O)NC1=O)C)S)O.CC1=CN(C(=O)NC1=O)C2CC(C(O2)CO[P+](=O)S)OP(=S)(O)OCC3C(CC(O3)N4C=NC5=C4N=C(NC5=O)N)OP(=S)(O)OCC6C(CC(O6)N7C=C(C(=O)NC7=O)C)OP(=S)(O)OCC8C(CC(O8)N9C=NC1=C(N=CN=C19)N)O
GI-4000,N/A
13-deoxydoxorubicin,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(CCO)O)N)O
Maxy-G34,N/A
CGC-11047,CCNCCCNC/C=C\CNCCCNCC.Cl.Cl.Cl.Cl
MVA-BN-HER-2,N/A
R-851,N/A
Trastuzumab emtansine,N/A
ATX-101,C[C@H](CCC(=O)O)[C@H]1CC[C@@H]2[C@@]1([C@H](C[C@H]3[C@H]2CC[C@H]4[C@@]3(CC[C@H](C4)O)C)O)C
LGD-1550,C/C(=C\C(=O)O)/C=C/C=C(\C)/C1=CC(=CC(=C1)C(C)(C)C)C(C)(C)C
Irofulven,CC1=C(C2=C(C3(CC3)[C@@](C(=O)C2=C1)(C)O)C)CO
LM-609,N/A
MX6,N/A
Arylacenamide,CCN(C/C=C\C1=CC(=C(C=C1)C2CCCCC2)Cl)C3CCCCC3.Cl
GEM-231,N/A
GTI 2040,N/A
Cositecan,CC[C@@]1(C2=C(COC1=O)C(=O)N3CC4=C(C5=CC=CC=C5N=C4C3=C2)CC[Si](C)(C)C)O
Muparfostat,N/A
TA-CIN,N/A
Abiraterone,C[C@]12CC[C@@H](CC1=CC[C@@H]3[C@@H]2CC[C@]4([C@H]3CC=C4C5=CN=CC=C5)C)O
GnRH pharmaccine,N/A
Laromustine,CNC(=O)N(N(CCCl)S(=O)(=O)C)S(=O)(=O)C
SGN-15,N/A
G207,CCCCC1=CC=C(C=C1)N=NC2=CC=C(C=C2)N=NC3=CC=C(C=C3)OCCC
ING-1,N/A
OC-1012,N/A
NS-3728,C1=CC(=C(C=C1Br)NC(=O)NC2=CC(=CC(=C2)C(F)(F)F)C(F)(F)F)C3=NNN=N3
OSI-7836,C1=CN(C(=O)N=C1N)[C@H]2[C@H]([C@@H]([C@H](S2)CO)O)O
AI-850,N/A
NV-07a,N/A
Biomed 101,CCCC1=C(C=CC2=C1OC(CC2)C(=O)O)OCCCOC3=C(C(=C(C=C3)C(=O)C)OC)CCC
PI-166,N/A
Tasquinimod,CN1C2=C(C(=CC=C2)OC)C(=C(C1=O)C(=O)N(C)C3=CC=C(C=C3)C(F)(F)F)O
PPI-2458,CC(C)[C@H](C(=O)N)NC(=O)O[C@@H]1CC[C@]2(CO2)[C@H]([C@@H]1OC)[C@@]3([C@H](O3)CC=C(C)C)C
99mTc-14 F7 Mab,N/A
anti-alpha5Beta1-integrin antibody,N/A
MBT-0312,N/A
NV-18,N/A
Veglin,N/A
HGS-TR2J,N/A
rhIGFBP-3,N/A
EP0057,N/A
KOS-1584,C[C@H]1/C=C/C/C(=C\C[C@H](OC(=O)C[C@@H](C(C(=O)[C@@H]([C@H]1O)C)(C)C)O)/C(=C/C2=CSC(=N2)C)/C)/C
OSI-930,C1=CC=C2C(=C1)C(=CC=N2)CNC3=C(SC=C3)C(=O)NC4=CC=C(C=C4)OC(F)(F)F
CT-011,N/A
RTA 744,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)OCC6=CC=CC=C6.Cl
Dovitinib,CN1CCN(CC1)C2=CC3=C(C=C2)N=C(N3)C4=C(C5=C(C=CC=C5F)NC4=O)N
GPI-0100,CCCCCCCCCCCCNC(=O)[C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@H]2CC[C@]3(C([C@]2(C)C=O)CC[C@@]4(C3CC=C5[C@]4(C[C@H]([C@@]6(C5CC(CC6)(C)C)C(=O)O[C@H]7[C@@H]([C@H]([C@H]([C@H](O7)C)O)O)O[C@H]8[C@@H]([C@@H]([C@H]([C@@H](O8)C)O[C@H]9[C@@H]([C@H]([C@@H](CO9)O)O[C@H]1[C@@H]([C@](CO1)(CO)O)O)O)O)O)O)C)C)C)O[C@H]1[C@@H]([C@H]([C@H]([C@H](O1)CO)O)O)O)O[C@H]1[C@@H]([C@H]([C@@H](CO1)O)O)O)O
Pegdinetanib,COCCNC(=O)OCC(COC(=O)NCCOC)OCCCC(=O)NCCNC(=O)CCN1C(=O)CC(C1=O)SC[C@@H](C(=O)O)N
Denibulin,C[C@@H](C(=O)NC1=CC=C(C=C1)SC2=CC3=C(C=C2)N=C(N3)NC(=O)OC)N
MK-4721,N/A
CTCE-0214,CC[C@H](C)[C@H]1C(=O)N[C@H](C(=O)N[C@@H](CCC(=O)NCCCC[C@@H](C(=O)N[C@H](C(=O)N1)CC2=CNC3=CC=CC=C32)NC(=O)[C@H](CC(C)C)NC(=O)CNC(=O)CNC(=O)CNC(=O)CNC(=O)[C@H](CC4=CC=CC=C4)NC(=O)[C@H](CC5=CC=CC=C5)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC6=CC=CC=C6)NC(=O)[C@@H]7CCCN7C(=O)[C@H](C)NC(=O)[C@H](CCCNC(=N)N)NC(=O)[C@H](CC8=CC=C(C=C8)O)NC(=O)[C@H](CO)NC(=O)[C@H](CC(C)C)NC(=O)[C@H](CO)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]9CCCN9C(=O)[C@H](CCCCN)N)C(=O)N[C@@H](CC1=CC=C(C=C1)O)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CCC(=O)O)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@@H](CC(C)C)C(=O)N[C@@H](CC(=O)N)C(=O)N)CCC(=O)N
Leronlimab,N/A
Varlitinib,C[C@@H]1COC(=N1)NC2=CC3=C(C=C2)N=CN=C3NC4=CC(=C(C=C4)OCC5=NC=CS5)Cl
EGEN-001,N/A
ENMD-1198,C[C@]12CC[C@H]3[C@H]([C@@H]1CC=C2)CCC4=CC(=C(C=C34)OC)C(=O)N
TAS-108,CCN(CC)CC1=CC(=C(C=C1)OCC[C@H]2CC[C@@H]3[C@@]2(CC[C@H]4[C@H]3[C@@H](CC5=C4C=CC(=C5)O)C)C)OC.C(C(=O)O)C(CC(=O)O)(C(=O)O)O
ANZ-100,N/A
PR-104,CS(=O)(=O)OCCN(CCBr)C1=C(C=C(C=C1[N+](=O)[O-])[N+](=O)[O-])C(=O)NCCOP(=O)(O)O
SNS-032,CC(C)(C)C1=CN=C(O1)CSC2=CN=C(S2)NC(=O)C3CCNCC3
Archexin,N/A
Transcrocetinate,C/C(=C\C=C\C=C(\C=C\C=C(\C(=O)O)/C)/C)/C=C/C=C(/C(=O)O)\C
